sentence,step,n_pairs,n_admitted,top_span,is_gold
"a tall blue girl chased that boy with that robot",1,8,8,"(5, 6)",1
"a tall blue girl chased that boy with that robot",2,7,7,"(5, 6)",1
"a tall blue girl chased that boy with that robot",3,6,6,"(5, 6)",1
"a tall blue girl chased that boy with that robot",4,5,5,"(8, 9)",1
"a tall blue girl chased that boy with that robot",5,4,4,"(0, 4)",1
"a tall blue girl chased that boy with that robot",6,3,3,"(0, 4)",1
"a tall blue girl chased that boy with that robot",7,2,2,"(0, 6)",1
"a tall blue girl chased that boy with that robot",8,1,1,"(0, 9)",1
"that boy carried near a apple",0,5,5,"(4, 5)",1
"that boy carried near a apple",1,4,4,"(4, 5)",1
"that boy carried near a apple",2,3,3,"(3, 5)",1
"that boy carried near a apple",3,2,2,"(0, 2)",1
"that boy carried near a apple",4,1,1,"(0, 5)",1
"that girl chased with a apple",0,5,5,"(0, 1)",1
"that girl chased with a apple",1,4,4,"(4, 5)",1
"that girl chased with a apple",2,3,3,"(3, 5)",1
"that girl chased with a apple",3,2,2,"(0, 2)",1
"that girl chased with a apple",4,1,1,"(0, 5)",1
"this robot saw without the curious ancient blue friendly apple",0,9,9,"(0, 1)",1
"this robot saw without the curious ancient blue friendly apple",1,8,8,"(5, 6)",0
"this robot saw without the curious ancient blue friendly apple",2,7,7,"(5, 6)",0
"this robot saw without the curious ancient blue friendly apple",3,6,6,"(5, 8)",1
"this robot saw without the curious ancient blue friendly apple",4,5,5,"(4, 8)",0
"this robot saw without the curious ancient blue friendly apple",5,4,4,"(4, 9)",1
"this robot saw without the curious ancient blue friendly apple",6,3,3,"(3, 9)",1
"this robot saw without the curious ancient blue friendly apple",7,2,2,"(0, 2)",1
"this robot saw without the curious ancient blue friendly apple",8,1,1,"(0, 9)",1
"this tall tall robot admired with this girl",0,7,7,"(6, 7)",1
"this tall tall robot admired with this girl",1,6,6,"(6, 7)",1
"this tall tall robot admired with this girl",2,5,5,"(0, 3)",1
"this tall tall robot admired with this girl",3,4,4,"(6, 7)",1
"this tall tall robot admired with this girl",4,3,3,"(5, 7)",1
"this tall tall robot admired with this girl",5,2,2,"(0, 4)",1
"this tall tall robot admired with this girl",6,1,1,"(0, 7)",1
"that girl chased this apple",0,4,4,"(0, 1)",1
"that girl chased this apple",1,3,3,"(3, 4)",1
"that girl chased this apple",2,2,2,"(0, 2)",1
"that girl chased this apple",3,1,1,"(0, 4)",1
"that friendly curious boy admired this girl",0,6,6,"(1, 2)",1
"that friendly curious boy admired this girl",1,5,5,"(5, 6)",1
"that friendly curious boy admired this girl",2,4,4,"(0, 3)",1
"that friendly curious boy admired this girl",3,3,3,"(5, 6)",1
"that friendly curious boy admired this girl",4,2,2,"(0, 4)",1
"that friendly curious boy admired this girl",5,1,1,"(0, 6)",1
"this apple admired near this ancient friendly blue girl",0,8,8,"(6, 7)",1
"this apple admired near this ancient friendly blue girl",1,7,7,"(6, 7)",1
"this apple admired near this ancient friendly blue girl",2,6,6,"(5, 7)",1
"this apple admired near this ancient friendly blue girl",3,5,5,"(5, 8)",1
"this apple admired near this ancient friendly blue girl",4,4,4,"(4, 8)",1
"this apple admired near this ancient friendly blue girl",5,3,3,"(3, 8)",1
"this apple admired near this ancient friendly blue girl",6,2,2,"(0, 2)",1
"this apple admired near this ancient friendly blue girl",7,1,1,"(0, 8)",1
"this blue tall boy admired the boy",0,6,6,"(5, 6)",1
"this blue tall boy admired the boy",1,5,5,"(5, 6)",1
"this blue tall boy admired the boy",2,4,4,"(0, 3)",1
"this blue tall boy admired the boy",3,3,3,"(5, 6)",1
"this blue tall boy admired the boy",4,2,2,"(0, 4)",1
"this blue tall boy admired the boy",5,1,1,"(0, 6)",1
"a teacher admired the book with a tall blue book",0,9,9,"(0, 1)",1
"a teacher admired the book with a tall blue book",1,8,8,"(7, 8)",1
"a teacher admired the book with a tall blue book",2,7,7,"(7, 8)",1
"a teacher admired the book with a tall blue book",3,6,6,"(7, 9)",1
"a teacher admired the book with a tall blue book",4,5,5,"(6, 9)",1
"a teacher admired the book with a tall blue book",5,4,4,"(0, 2)",1
"a teacher admired the book with a tall blue book",6,3,3,"(0, 2)",1
"a teacher admired the book with a tall blue book",7,2,2,"(0, 4)",1
"a teacher admired the book with a tall blue book",8,1,1,"(0, 9)",1
"the teacher liked the blue curious teacher",0,6,6,"(0, 1)",1
"the teacher liked the blue curious teacher",1,5,5,"(0, 2)",1
"the teacher liked the blue curious teacher",2,4,4,"(4, 6)",1
"the teacher liked the blue curious teacher",3,3,3,"(3, 6)",1
"the teacher liked the blue curious teacher",4,2,2,"(0, 2)",1
"the teacher liked the blue curious teacher",5,1,1,"(0, 6)",1
"that apple read near a friendly tall ancient teacher",0,8,8,"(0, 1)",1
"that apple read near a friendly tall ancient teacher",1,7,7,"(5, 6)",0
"that apple read near a friendly tall ancient teacher",2,6,6,"(6, 8)",0
"that apple read near a friendly tall ancient teacher",3,5,5,"(4, 7)",0
"that apple read near a friendly tall ancient teacher",4,4,4,"(4, 8)",1
"that apple read near a friendly tall ancient teacher",5,3,3,"(3, 8)",1
"that apple read near a friendly tall ancient teacher",6,2,2,"(0, 2)",1
"that apple read near a friendly tall ancient teacher",7,1,1,"(0, 8)",1
